id,name
3227,Guadalupe Bañuelos
3225,Calera
3210,Benito Juarez
3214,Aguanaval
3223,Guadalupe de Las Corrientes
3216,Sain Alto
3215,Abrego
3221,Camacho
3222,El Cardito
3224,Puerto Madero
3233,Pino Suarez
3203,Corrales
3213,Villa Garcia
3204,Valparaiso
3201,Sabinas
3212,Ojocaliente
3228,La Blanca
3234,Saldaña
3230,Villa Hidalgo
3226,Chupaderos
3232,Espiritu Santo
3229,Loreto
3208,Nochistlan
3209,Jalpa - Juchipila
3205,Jerez
3217,El Palmar
3231,Pinos
3207,Garcia de La Cadena
3211,Villanueva
3206,Tlaltenango - Tepechitlan
3202,Hidalgo
3220,Guadalupe Garzaron
3219,El Salvador
3218,Cedros
3018,Jalapa - Coatepec
3001,Poza Rica
3003,Martinez de La Torre - Nautla
3005,Valle de Actopan
3010,Los Naranjos
3019,Cuenca Rio Papaloapan
3020,Costera del Papaloapan
3016,Sierra de San Andres Tuxtla
3011,Soteapan - Hueyapan
3017,Tampico - Misantla
3014,Alamo - Tuxpan
3007,Orizaba - Cordoba
3009,Omealca - Huixcolotla
3008,Cotaxtla
3004,Perote - Zalayeta
3002,Tecolutla
3006,Costera de Veracruz
3012,Costera de Coatzacoalcos
2903,Huamantla
2901,Alto Atoyac
2904,Emiliano Zapata
2902,Soltepec
2808,Victoria - Casas
2805,Jimenez - Abasolo
2809,Aldama - Soto La Marina
2813,Zona Sur
2810,Palmillas - Jaumave
2801,Bajo Rio Bravo
2802,Mendez - San Fernando
2814,Tula - Bustamante
2811,Llera - Xicotencatl
2812,Ocampo - Antiguo Morelos
2705,La Sierra
2707,Los Rios
2706,Macuspana
2703,Samaria - Cunduacan
2704,Centla
2701,Huimanguillo
2702,La Chontalpa
2708,Boca del Cerro
2642,Valle del Mayo
2635,Valle de Guaymas
2626,Rio Zanjon
2624,Rio Sonora
2625,Rio San Miguel
2633,Rio Moctezuma
2632,Rio Frontera
2613,Rio Alisos
2612,Magdalena
2606,Los Chirriones
2610,Coyotillo
2609,Busani
2611,La Tinaja
2622,La Poza
2623,Santa Rosalia
2627,Rio Bacoachi
2628,Rio Bacanuchi
2637,Rio Bacanora
2638,Rio Sahuaripa
2639,Rio Tecoripa
2646,Rosario - Tesopaco - El Quiriego
2647,Onavas
2648,Soyopa
2651,Batevito
2652,Villa Hidalgo
2653,Huasabas
2654,Bacadehuachi
2656,Cumuripa
2657,Agua Caliente
2660,Cuitaca
2661,Cumpas
2631,Rio Bavispe
2655,Nacori Chico
2658,San Bernardo
2649,Yecora
2634,Rio Matape
2621,Mesa del Seri - La Victoria
2614,Cocospera
2602,Los Vidrios
2604,Arroyo Sahuaro
2605,Caborca
2617,Puerto Libertad
2618,Arivaipa
2636,San Jose de Guaymas
2641,Cocoraque
2644,Fuerte - Mayo
2607,Arroyo Seco
2608,Rio Altar
2650,Nogales
2615,Rio Santa Cruz
2616,Rio San Pedro
2629,Rio Agua Prieta
2630,Arroyo San Bernardino
2603,Sonoyta - Puerto Peñasco
2620,Sahuaral
2643,Cuchujaqui
2619,Costa de Hermosillo
2640,Valle del Yaqui
2645,Rio Chico
2511,Valle de Escuinapa
2502,Rio Sinaloa
2506,Rio Elota
2507,Rio Piaxtla
2504,Rio Culiacan
2503,Rio Mocorito
2513,Rio Cañas
2501,Rio Fuerte
2514,El Carrizo
2505,Rio San Lorenzo
2508,Rio Quelite
2509,Rio Presidio
2512,Laguna Agua Grande
2510,Rio Baluarte
2415,Rio Verde
2414,Cerritos - Villa Juarez
2416,San Nicolas Tolentino
2419,Tamuin
2411,San Luis Potosi
2405,Ahualulco
2409,Villa Hidalgo
2401,Vanegas - Catorce
2407,Cedral - Matehuala
2408,Villa de Arista
2403,Salinas de Hidalgo
2404,Santo Domingo
2413,Matehuala - Huizache
2410,Buenavista
2418,Huasteca Potosina
2412,Jaral de Berrios - Villa de Reyes
2402,El Barril
2406,Villa de Arriaga
2417,Santa Maria del Rio
2305,Isla de Cozumel
2301,Cerros y Valles
405,Xpujil
3105,Peninsula de Yucatan
2201,Valle de Queretaro
2204,Valle de Buenavista
2208,Valle de Huimilpan
2209,Valle de Amealco
2210,Moctezuma
2206,Valle de Cadereyta
2205,Valle de Tequisquiapan
2202,Valle de Amazcala
2207,Toliman
2211,Tampaon - Zona de Sierra
2203,Valle de San Juan del Rio
2015,Tamazulapan
2017,Juxtlahuaca
2014,Huajuapan de Leon
2025,Valles Centrales
2009,Rio Verde - Ejutla
2005,Miahuatlan
2016,Nochixtlan
2011,Huatulco
2021,Morro - Mazatan
2004,Jamiltepec
2010,Tuxtepec
2012,Cuicatlan
2013,Coatzacoalcos
2018,Pinotepa Nacional
2019,Chacahua
2020,Santiago Astata
2024,Colotepec - Tonameca
2008,Ostuta
2023,Mariscala
2007,Tehuantepec
2022,Bajos de Chila
1918,Campo Jaritas
1913,China - General Bravo
1920,Campo Papagayos
1919,Campo Cerritos
1924,El Carmen - Salinas - Victoria
1910,Campo Topo Chico
1908,Campo Mina
1911,Cañon del Huajuco
1907,Campo Buenos Aires
1909,Campo Durazno
1905,Agualeguas - Ramones
1923,Doctor Arroyo
1921,El Peñuelo - San Jose El Palmar
1922,Santa Rita - Cruz de Elorza
1906,Area Metropolitana de Monterrey
1912,Citricola Norte
1916,Navidad - Potosi - Raices
1914,Citricola Sur
1901,Lampazos - Villaldama
1903,Lampazos - Anahuac
1902,Sabinas - Paras
1915,Soto La Marina
1917,Sandia - La Union
1804,Valle de Matatipac
1811,Isla Madre (Islas Marias)
1805,Valle de Compostela
1812,Valle de Santa Maria del Oro
1810,Valle Amatlan de Cañas
1803,Valle Santiago - San Blas
1807,Valle de Banderas
1809,Valle Ixtlan - Ahuacatlan
1801,Valle Acaponeta - Cañas
1802,San Pedro - Tuxpan
1806,Zacualpan - Las Varas
1808,Punta de Mita
1701,Cuernavaca
1702,Cuautla - Yautepec
1703,Zacatepec
1704,Tepalcingo - Axochiapan
1614,Uruapan
1616,Nueva Italia
1615,La Huacana
1608,Zamora
1618,Playa Azul
1606,Zacapu
1604,Lagunillas Patzcuaro
1623,La Piedad
1613,Churumuco
1611,Tacambaro - Turicato
1601,Maravatio - Contepec - E. Huerta
1622,Cotija
1609,Briseñas - Yurecuaro
1612,Huetamo
1617,Lazaro Cardenas
1621,Coahuayana
1620,Apatzingan
1607,Cienega de Chapala
1605,Pastor Ortiz - La Piedad
1602,Morelia - Querendaro
1610,Ciudad Hidalgo - Tuxpan
1619,Ostula
1509,Temascaltepec
1507,Texcoco
1506,Chalco - Amecameca
1503,Polotitlan
1504,Tenancingo
1401,Atemajac
1402,Toluquilla
1403,Cajititlan
1450,San Isidro
1451,Huejotitlan
1404,Poncitlan
1446,Cuquio
1428,Chapala
1436,Arenal
1416,Valle de Guadalupe
1415,Jalostotitlan
1449,Lagunas
1452,Union de Guadalupe
1421,Tapalpa
1419,Tecolotlan
1405,Ocotlan
1443,Maravilla
1442,Mascota
1426,Santa Maria
1430,La Huerta
1435,Amatitan
1420,Jiquilpan
1418,Union de Tula
1411,El Muerto
1407,Aguacate
1413,Altos de Jalisco
1414,Tepatitlan
1433,Cihuatlan
1417,Autlan
1406,Ciudad Guzman
1441,Barreras
1438,Colomos
1408,La Barca
1459,Jesus Maria
1445,San Jose de Las Pilas
1444,San Diego de Alejandria
1410,Lagos de Moreno
1412,20 de Noviembre
1448,Ojuelos
1423,Primo Verdad
1447,Yahualica
1434,Norte de Jalisco
1458,Mixtlan
1409,Ameca
1437,Tequila
1457,Colotlan
1456,San Martin de Bolaños
1429,Tizapan
1440,Valle de Juarez
1439,Quitupan
1431,Cuautitlan
1432,Miguel Hidalgo
1424,Tomatlan
1425,Vista del Mar
1427,Puerto Vallarta
1453,Los Puentes
1455,Mezquitic
1454,Villa Guerrero
1422,Encarnacion
1308,El Astillero
1312,Ixmiquilpan
1317,Valle de Tulancingo
1315,Huasca - Zoquital
1321,Amajac
1301,Zimapan
1314,Meztitlan
1318,Acaxochitlan
1319,Tecocomulco
1305,Atlapexco - Candelaria
1306,Calabozo
1307,Huichapan - Tecozautla
1309,Chapantongo - Alfajayucan
1313,Actopan - Santiago de Anaya
1320,Apan
1311,Ajacuba
1310,Valle del Mezquital
1304,Xochitlan - Huejutla
1303,Atotonilco - Jaltocan
1302,Orizatlan
1207,Tlacotepec
1206,Chilapa
1209,Arcelia
1203,Poloncingo
1208,Altamirano - Cutzamala
1214,Pantla
1218,San Jeronimito
1222,Tecpan
1234,Marquelia
1233,Copala
1232,Nexpa
1228,Chilpancingo
1229,Tepechicotlan
1212,El Naranjito
1210,Paso de Arena
1220,Coyuquilla
1221,San Luis
1205,Iguala
1204,Buenavista de Cuellar
1219,Petatlan
1213,La Union
1235,Cuajinicuilapa
1202,Huitzuco
1201,Tlapa - Huamuxtitlan
1211,Coahuayutla
1104,Laguna Seca
1115,Valle de Celaya
1122,Cienega Prieta - Moroleon
1103,Ocampo
1108,Cuenca Alta del Rio Laja
1118,Salvatierra - Acambaro
1110,Silao - Romita
1111,La Muralla
1121,Lago de Cuitzeo
1107,San Miguel de Allende
1117,Valle de Acambaro
1114,Rio Turbio
1113,Valle de Leon
1120,Penjamo - Abasolo
1101,Xichu - Atarjea
1116,Valle de La Cuevita
1106,Dr. Mora - San Jose de Iturbide
1119,Irapuato - Valle
1001,Valle de Santiaguillo
1017,Valle del Mezquital
1003,Valle del Guadiana
1002,Valle de Canatlan
1005,Madero - Victoria
1004,Vicente Guerrero - Poanas
1027,Cabrera
1013,Buenos Aires
1026,Vicente Suarez
1010,San Jose de Nazareno
1011,Galeana - Quemado
1006,Tepehuanes - Santiago
1009,Matalotes - El Oro
1029,Revolucion
1019,Cuauhtemoc
1007,Providencia
1014,Torreon de Cañas
1015,San Fermin
1008,Cabrera - Ocampo
1028,La Zarca - Revolucion
1018,Peñon Blanco
1021,Pedriceña - Velardeña
1022,Villa Juarez
1024,Oriente Aguanaval
1020,Santa Clara
1023,Ceballos
1012,La Victoria
1025,Nazas
1016,San Juan del Rio
610,La Central - Peña Blanca
609,Santiago - Salagua
605,Venustiano Carranza
612,Marabasco
608,Jalipa - Tapeixtles
607,El Colomo
601,Colima
613,Minatitlan
603,Armeria - Tecoman - Periquillos
615,Alzada - Tepames
614,Valle de Ixtlahuacan
528,Cuatrocienegas
504,Cuatrocienegas - Ocampo
507,Monclova
506,El Hundido
518,Laguna El Coyote
527,Valle de San Marcos
502,Cañon del Derramadero
524,Acatita
525,Las Delicias
516,Hercules
509,La Paila
517,Laguna El Guaje
505,General Cepeda - Sauceda
523,Principal - Region Lagunera
519,Castaños
511,Region Manzanera - Zapaliname
508,Paredon
510,Saltillo - Ramos Arizpe
515,Santa Fe del Pino
521,Saltillo Sur
520,Laguna del Rey - Sierra Mojada
860,Guerrero - Yepomera
859,Madera
858,La Norteña
801,Ascension
806,Casas Grandes
822,Santa Clara
810,Samalayuca
809,Laguna de Mexicanos
805,Cuauhtemoc
803,Baja Babicora
802,Alta Babicora
808,Janos
845,San Felipe de Jesus
813,Laguna Tres Castillos
847,Los Juncos
849,Llano de Gigantes
851,Rancho El Astillero
853,Rancho La Gloria
850,Las Pampas
844,Valle de Zaragoza
841,Potrero del Llano
821,Flores Magon - Villa Ahumada
825,El Sabinal
820,Ignacio Zaragoza
807,El Sauz - Encinillas
827,El Cuarenta
816,Aldama - El Cuervo
826,Los Lamentos
846,Carichi - Nonoava
812,Palomas - Guadalupe Victoria
861,Valle del Peso
837,Bajo Rio Conchos
854,Rancho Denton
856,Laguna El Rey
828,Los Moscos
829,Josefa Ortiz de Dominguez
811,Las Palmas
815,Laguna El Diablo
834,Parral - Valle del Verano
833,Valle de Juarez
842,Alamo Chapo
857,Escalon
839,Manuel Benavides
855,Laguna Los Alazanes
843,Bocoyna
832,Jimenez - Camargo
848,Laguna de Palomas
707,Comitan
706,Fraylesca
702,Reforma
709,Acapetahua
703,Tuxtla
712,San Cristobal Las Casas
714,Chicomuselo
708,La Trinitaria
710,Soconusco
711,Arriaga - Pijijiapan
704,Ocozocoautla
713,Marques de Comillas
715,Ocosingo
705,Cintalapa
701,Palenque
306,Santo Domingo
319,San Jose del Cabo
302,Vizcaino
305,Mezquital Seco
307,Santa Rita
316,Migriño
321,San Bartolo
323,Los Planes
325,El Coyote
327,Tepentu
331,Bahia Concepcion
339,Paralelo 28
330,Rosarito
301,Punta Eugenia
338,Las Virgenes
337,Santa Rosalia
336,Santa Agueda
335,San Lucas
334,San Bruno
333,San Marcos - Palo Verde
332,Mulege
304,La Purisima
303,San Ignacio
308,Las Pocitas - San Hilario
314,El Pescadero
320,Santiago
315,Plutarco Elias Calles
318,Cabo Pulmo
317,Cabo San Lucas
223,Valle Chico - San Pedro Martir
248,Real del Castillo
208,Ojos Negros
216,La Trinidad
205,Las Palmas
207,Guadalupe
212,Maneadero
219,Camalu
221,San Quintin
220,Colonia Vicente Guerrero
229,Jamau
201,Tijuana
218,San Telmo
227,Villa de Jesus Maria
244,El Progreso - El Barril
242,La Bocana - Llanos de San Pedro
236,La Rumorosa - Tecate
202,Tecate
204,Los Medanos
209,Laguna Salada
213,Santo Tomas
215,Cañon La Calentura
247,El Socorro
238,Matomi - Puertecitos
240,Calamajue
241,Agua Amarga
226,Bahia de Los Angeles
234,La Bachata - Santa Rosalita
235,Nuevo Rosarito
228,Llanos del Berrendo
224,El Rosario
245,Rosarito
203,El Descanso
206,La Mision
211,Ensenada
214,San Vicente
217,San Rafael
246,San Simon
230,San Fernando - San Agustin
231,Santa Catarina
232,Punta Canoas - San Jose
233,Laguna de Chapala
243,San Rafael - La Palma
225,Bahia de San Luis Gonzaga
239,El Huerfanito
222,San Felipe - Punta Estrella
237,El Chinero
104,Venadero
102,Valle de Chicalote
105,Valle de Calvillo
101,Valle de Aguascalientes
103,El Llano
2104,Valle de Puebla
2106,Ixcaquixtla
2103,Atlixco - Izucar de Matamoros
2105,Valle de Tehuacan
2102,Libres - Oriental
2101,Valle de Tecamachalco
210,Valle de Mexicali
2601,Valle de San Luis Rio Colorado
804,Buenaventura
824,Laguna de Hormigas
814,Laguna de Tarabillas
817,Laguna de Patos
818,Laguna de Santa Maria
819,Laguna La Vieja
823,Conejos - Medanos
838,Alto Rio San Pedro
836,Aldama - San Diego
840,Villalba
831,Meoqui - Delicias
830,Chihuahua - Sacramento
835,Tabalaopa - Aldama
2807,Victoria - Guemez
2806,Margenes del Rio Purificacion
2804,San Carlos
2803,Hidalgo - Villagran
1508,Cuautitlan - Pachuca
1502,Ixtlahuaca - Atlacomulco
1505,Villa Victoria - Valle de Bravo
1316,Tepeji del Rio
1501,Valle de Toluca
901,Zona Metropolitana de la Cd. de México
329,San Juan B. Londo
328,Loreto
1226,Bahia de Acapulco
1216,Bahia de Zihuatanejo
1217,Coacoyul
1215,Ixtapa
1227,La Sabana
1230,Papagayo
1231,San Marcos
1223,Atoyac
1224,Coyuca
1225,Conchero
309,El Conejo - Los Viejos
310,Meliton Albañez
312,Cañada Honda
311,La Matanza
313,Todos Santos
322,El Carrizal
326,Alfredo V. Bonfil
324,La Paz
522,Presa La Amistad
514,Hidalgo
526,Serrania del Burro
512,Region Carbonifera
503,Cerro Colorado - La Partida
501,Allende - Piedras Negras
513,Palestina
852,Laguna de Jaco
